id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
3408,USDC,USDC,usd-coin,22126,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,35569068088.57862,35569068088.57862,False,,6,,,,2024-09-19T00:39:00.000Z,1.0000573981205603,7305664542.637159,6.4115,0.01421657,0.01359647,-0.01489241,-0.02068403,0.00238613,0.00098008,35571109686.236984,1.6605,35571109686.24,,2024-09-19T00:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-09-18 19:42:25.640176
52,XRP,XRP,xrp,1390,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56386022594.0,99987224458.0,False,,7,,,,2024-09-19T00:40:00.000Z,0.5881723189619399,1219590295.297082,21.6922,0.61483545,1.36604087,9.92364993,-2.67206955,-0.9345516,20.33301612,33164697666.153316,1.5475,58817231896.19,,2024-09-19T00:40:00.000Z,,,,,,2024-09-18 19:42:25.640176
74,Dogecoin,DOGE,dogecoin,1066,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146014156383.70526,146014156383.70526,True,,8,,,,2024-09-19T00:40:00.000Z,0.10483706602198478,581535816.3489438,20.1578,1.67134211,4.85231408,2.8107197,1.62754789,-21.45294463,-15.80719297,15307695752.942919,0.7143,15307695752.94,,2024-09-19T00:40:00.000Z,,,,,,2024-09-18 19:42:25.640176
11419,Toncoin,TON,toncoin,556,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2532568249.551437,5112018852.81796,True,,9,3414166606.0,19433087011.615265,,2024-09-19T00:39:00.000Z,5.691897688139729,254241269.0684735,3.6559,1.12531915,3.71724019,4.85766637,-17.64021825,-21.67966185,-20.21778548,14415119364.677904,0.6726,29097088290.08,,2024-09-19T00:39:00.000Z,,,,,,2024-09-18 19:42:25.640176
1958,TRON,TRX,tron,1035,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86680649698.72441,86680648369.54121,True,,10,71659659264.0,10725329870.454159,,2024-09-19T00:39:00.000Z,0.14967040006346072,277291469.4003944,2.7111,0.19595564,-0.05966902,-2.49866556,3.75766715,10.97948833,28.38060716,12973527518.168777,0.6053,12973527319.23,,2024-09-19T00:39:00.000Z,,,,,,2024-09-18 19:42:25.640176
2010,Cardano,ADA,cardano,1251,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35960643044.11,37170426657.961,False,,11,,,,2024-09-19T00:39:00.000Z,0.3484884742151681,269629572.9501939,28.2412,2.16329308,5.18137915,-1.95486677,2.07470705,-20.32821908,-9.1114934,12531869626.238192,0.5847,15681981339.68,,2024-09-19T00:39:00.000Z,,,,,,2024-09-18 19:42:25.640176
5805,Avalanche,AVAX,avalanche,781,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,405924015.3882657,445927115.3882657,False,,12,,,,2024-09-19T00:39:00.000Z,25.91449652387062,326699957.70620435,44.7626,6.62011176,10.10898101,10.66868589,19.97875949,-10.70592381,-5.77716969,10519316485.734818,0.4908,18548267690.49,,2024-09-19T00:39:00.000Z,,,,,,2024-09-18 19:42:25.640176
5994,Shiba Inu,SHIB,shiba-inu,876,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589269506895882.0,589518419261203.6,False,,13,,,,2024-09-19T00:39:00.000Z,1.3821256595594104e-05,169436925.66095188,30.2933,1.70012995,4.83885789,3.47163838,1.76670359,-23.28969834,-23.13503198,8144445058.767195,0.38,8147885340.44,,2024-09-19T00:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-09-18 19:42:25.640176
1975,Chainlink,LINK,chainlink,1845,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,14,,,,2024-09-19T00:39:00.000Z,11.034492593120465,241788153.64731213,20.1133,2.35240898,4.81019553,5.46264837,6.40399732,-22.60874155,-22.34666446,6710074619.838048,0.3131,11034492593.12,,2024-09-19T00:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-09-18 19:42:25.640176
1831,Bitcoin Cash,BCH,bitcoin-cash,922,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19762637.5,19762637.5,False,,15,,,,2024-09-19T00:39:00.000Z,338.99865791029504,245685847.2792717,32.7394,6.85828067,8.67725643,-0.05793999,-1.39771864,-14.17011233,-12.59032432,6699507589.267669,0.3126,7118971816.12,,2024-09-19T00:39:00.000Z,,,,,,2024-09-18 19:42:25.640176
1,Bitcoin,BTC,bitcoin,11702,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19755946.0,19755946.0,False,,1,,,,2024-09-19T00:39:00.000Z,62250.23332756299,43347569138.49313,13.4877,1.61740527,3.85113078,7.55336584,3.0333615,-7.23310473,-4.04713467,1229812248106.7349,57.3832,1307254899878.82,,2024-09-19T00:39:00.000Z,,,,,,2024-09-18 19:42:31.703009
1027,Ethereum,ETH,ethereum,9306,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120343275.28871623,120343275.28871623,True,,2,,,,2024-09-19T00:39:00.000Z,2391.4063419512363,18903529262.966278,22.3552,1.50530727,3.32711071,1.18030696,-10.23194868,-31.98704989,-31.90227547,287789671736.6195,13.4341,287789671736.62,,2024-09-19T00:39:00.000Z,,,,,,2024-09-18 19:42:31.703009
825,Tether USDt,USDT,tether,97856,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118891598050.37207,121236817751.68619,True,,3,,,,2024-09-19T00:39:00.000Z,1.000300648960859,65314249199.52165,16.7913,0.01635913,0.01134245,-0.00579106,-0.02156927,-0.01624715,0.09014665,118927342685.78078,5.5492,121273267474.96,,2024-09-19T00:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-09-18 19:42:31.703009
1839,BNB,BNB,bnb,2236,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145933821.4525272,145933821.4525272,False,,4,,,,2024-09-19T00:39:00.000Z,560.5867528419311,1698295164.0263302,5.3143,0.36827694,3.26242486,4.56548093,-1.42668159,-5.74365214,-4.31601,81808567097.88637,3.8172,81808567097.89,,2024-09-19T00:39:00.000Z,,,,,,2024-09-18 19:42:31.703009
5426,Solana,SOL,solana,737,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,468367628.015991,584762653.526912,True,,5,,,,2024-09-19T00:39:00.000Z,134.69490228315442,2369875600.827894,35.5388,1.36125189,3.30658924,0.73474553,-8.24603694,-22.29628476,0.68223636,63086731888.206726,2.9436,78764548475.65,,2024-09-19T00:39:00.000Z,,,,,,2024-09-18 19:42:31.703009
